ID,Tamil Sentence,Category,Sentiment
1,பள்ளியில் மாணவர்கள் தரமான கல்வியை பெறுகின்றனர்.,Education,Negative
2,பள்ளியில் புதிய பாடத்திட்டம் அறிமுகப்படுத்தப்பட்டது.,Education,Negative
3,பள்ளியின் கட்டமைப்பு பழுதாக உள்ளது.,Education,Negative
4,இந்த பள்ளி மாணவர்களுக்கு சிறந்த கல்வி வழங்குகிறது.,Education,Positive
5,இந்த பள்ளியின் கல்வி தரம் மிக உயர்ந்தது.,Education,Negative
6,பள்ளியில் புத்தகங்கள் தேவையான அளவில் இல்லை.,Education,Positive
7,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
8,பள்ளியில் புதிய பாடத்திட்டம் அறிமுகப்படுத்தப்பட்டது.,Education,Negative
9,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
10,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
11,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
12,பள்ளியில் புதிய பாடத்திட்டம் அறிமுகப்படுத்தப்பட்டது.,Education,Positive
13,இந்த பள்ளியில் ஆசிரியர்கள் குறைவாக உள்ளனர்.,Education,Negative
14,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
15,இந்த பள்ளியில் ஆசிரியர்கள் குறைவாக உள்ளனர்.,Education,Negative
16,இந்த பள்ளி மாணவர்களுக்கு சிறந்த கல்வி வழங்குகிறது.,Education,Positive
17,இந்த பள்ளியில் ஆசிரியர்கள் குறைவாக உள்ளனர்.,Education,Negative
18,இந்த பள்ளி மாணவர்களுக்கு சிறந்த கல்வி வழங்குகிறது.,Education,Positive
19,பள்ளி ஆசிரியர்கள் சிறப்பாக பாடம் நடத்துகின்றனர்.,Education,Positive
20,பள்ளியின் கட்டமைப்பு பழுதாக உள்ளது.,Education,Positive
21,நிறுவனம் பொருளாதார சிக்கல்களை எதிர்கொள்கிறது.,Business,Negative
22,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
23,நிறுவனத்தின் வளர்ச்சி மந்தமாக உள்ளது.,Business,Positive
24,சந்தையில் பொருட்களின் விலைகள் அதிகரிக்கின்றன.,Business,Positive
25,நிறுவனம் புதிய தொழில்நுட்பங்களை அறிமுகப்படுத்தியுள்ளது.,Business,Positive
26,பணம் பற்றிய கவலைகள் தொழிலதிபர்களை பாதிக்கின்றன.,Business,Positive
27,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Negative
28,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Negative
29,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
30,நிறுவனத்தின் வளர்ச்சி மந்தமாக உள்ளது.,Business,Positive
31,சந்தையில் பொருட்களின் விலைகள் அதிகரிக்கின்றன.,Business,Negative
32,நிறுவனத்தின் உற்பத்தி திறன் குறைந்து வருகிறது.,Business,Negative
33,சந்தையில் பொருட்களின் விலைகள் அதிகரிக்கின்றன.,Business,Positive
34,நிறுவனம் பொருளாதார சிக்கல்களை எதிர்கொள்கிறது.,Business,Negative
35,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
36,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
37,நிறுவனம் பொருளாதார சிக்கல்களை எதிர்கொள்கிறது.,Business,Positive
38,பணம் பற்றிய கவலைகள் தொழிலதிபர்களை பாதிக்கின்றன.,Business,Negative
39,நிறுவனம் புதிய தொழில்நுட்பங்களை அறிமுகப்படுத்தியுள்ளது.,Business,Positive
40,நிறுவனத்தின் உற்பத்தி திறன் குறைந்து வருகிறது.,Business,Positive
41,நீர் பற்றாக்குறை விவசாயிகளை பாதிக்கிறது.,Agriculture,Positive
42,விவசாயத்திற்கு நல்ல மழை கிடைத்துள்ளது.,Agriculture,Negative
43,விவசாய நிலங்கள் மந்தமாக பயன்படுகின்றன.,Agriculture,Negative
44,விவசாயத்தில் புதிய தொழில்நுட்பம் அதிகரிக்கிறது.,Agriculture,Positive
45,விவசாயத்திற்கு நல்ல மழை கிடைத்துள்ளது.,Agriculture,Negative
46,நீர் பற்றாக்குறை விவசாயிகளை பாதிக்கிறது.,Agriculture,Negative
47,விவசாய பயிர்கள் மிகவும் ஆரோக்கியமாக வளர்கின்றன.,Agriculture,Negative
48,நீர் பற்றாக்குறை விவசாயிகளை பாதிக்கிறது.,Agriculture,Positive
49,இந்த ஆண்டு நல்ல மழை பெய்ததால் பயிர்கள் வளர்ந்துள்ளன.,Agriculture,Negative
50,விவசாய தொழில்நுட்பம் மெதுவாக முன்னேறுகிறது.,Agriculture,Positive
51,பயிர்கள் விளைவிக்க தேவையான உரம் குறைவாக உள்ளது.,Agriculture,Negative
52,விவசாய நிலம் உலர்ந்து போயுள்ளது.,Agriculture,Negative
53,விவசாய பயிர்கள் மிகவும் ஆரோக்கியமாக வளர்கின்றன.,Agriculture,Negative
54,விவசாயத்தில் புதிய தொழில்நுட்பம் அதிகரிக்கிறது.,Agriculture,Negative
55,விவசாயத்திற்கு நல்ல மழை கிடைத்துள்ளது.,Agriculture,Negative
56,விவசாயத்திற்கு நல்ல மழை கிடைத்துள்ளது.,Agriculture,Positive
57,இந்த ஆண்டு நல்ல மழை பெய்ததால் பயிர்கள் வளர்ந்துள்ளன.,Agriculture,Negative
58,விவசாய நிலம் உலர்ந்து போயுள்ளது.,Agriculture,Positive
59,விவசாயிகளுக்கு தேவையான உதவி கிடைக்கவில்லை.,Agriculture,Negative
60,விவசாய நிலங்கள் மந்தமாக பயன்படுகின்றன.,Agriculture,Positive
61,மருத்துவமனையின் பராமரிப்பு மிகவும் மோசமாக உள்ளது.,Health,Negative
62,மருத்துவமனையின் பராமரிப்பு மிகவும் மோசமாக உள்ளது.,Health,Negative
63,மருத்துவமனையில் மருத்துவர்கள் குறைவாக உள்ளனர்.,Health,Positive
64,மருத்துவ ஆராய்ச்சி மையம் புதிய கண்டுபிடிப்புகளை வெளியிட்டது.,Health,Positive
65,மருத்துவமனையில் நோயாளிகள் அதிகம் காத்திருக்கின்றனர்.,Health,Positive
66,மருத்துவமனையில் சேவைகள் மிகவும் குறைவாக உள்ளன.,Health,Positive
67,மருத்துவ பரிசோதனை மையங்கள் மிகவும் பயனுள்ளதாக உள்ளன.,Health,Negative
68,மருத்துவமனையில் நோயாளிகள் அதிகம் காத்திருக்கின்றனர்.,Health,Positive
69,மருத்துவமனையில் புதிய உபகரணங்கள் சேர்க்கப்பட்டன.,Health,Positive
70,மருத்துவ பரிசோதனை மையங்கள் மிகவும் பயனுள்ளதாக உள்ளன.,Health,Negative
71,மருத்துவமனையில் சேவைகள் மிகவும் குறைவாக உள்ளன.,Health,Negative
72,மருத்துவ ஆராய்ச்சி மையம் புதிய கண்டுபிடிப்புகளை வெளியிட்டது.,Health,Negative
73,மருத்துவ சேவை குறைவாக உள்ளது.,Health,Positive
74,மருத்துவமனையில் புதிய உபகரணங்கள் சேர்க்கப்பட்டன.,Health,Positive
75,மருத்துவமனையில் புதிய உபகரணங்கள் சேர்க்கப்பட்டன.,Health,Positive
76,மருத்துவமனையில் புதிய உபகரணங்கள் சேர்க்கப்பட்டன.,Health,Negative
77,மருத்துவமனையின் பராமரிப்பு மிகவும் மோசமாக உள்ளது.,Health,Positive
78,மருத்துவம் மிகுந்த நவீனமயமாக்கல் அடைந்துள்ளது.,Health,Positive
79,மருத்துவமனையில் சேவைகள் மிகவும் குறைவாக உள்ளன.,Health,Positive
80,மருத்துவம் மிகுந்த நவீனமயமாக்கல் அடைந்துள்ளது.,Health,Positive
81,அரசு மக்களின் தேவைகளை பூர்த்தி செய்ய தவறுகிறது.,Politics,Negative
82,அரசு திட்டங்கள் மக்களுக்கு உதவுகின்றன.,Politics,Positive
83,அரசியல் வாதிகள் உறுதியான முடிவுகளை எடுக்கவில்லை.,Politics,Negative
84,அரசாங்க திட்டங்கள் மிகுந்த ஆதரவை பெற்றுள்ளன.,Politics,Positive
85,அரசாங்க திட்டங்கள் மிகுந்த ஆதரவை பெற்றுள்ளன.,Politics,Negative
86,அரசாங்க திட்டங்கள் மிகுந்த ஆதரவை பெற்றுள்ளன.,Politics,Positive
87,அரசாங்கம் சிறப்பாக செயல்படுகிறது.,Politics,Negative
88,அரசியல் வாதிகள் மக்களுக்கு உதவுவதில் தவறுகின்றனர்.,Politics,Positive
89,அரசு திட்டங்கள் மக்களுக்கு உதவுகின்றன.,Politics,Positive
90,அரசியல் சூழ்நிலை அமைதியாக உள்ளது.,Politics,Negative
91,அரசியல் வாதிகள் உறுதியான முடிவுகளை எடுக்கவில்லை.,Politics,Negative
92,அரசு மக்களின் தேவைகளை பூர்த்தி செய்ய தவறுகிறது.,Politics,Positive
93,அரசியல் வாதிகள் உறுதியான முடிவுகளை எடுக்கவில்லை.,Politics,Positive
94,அரசியல் சூழ்நிலை மிகுந்த பதற்றமாக உள்ளது.,Politics,Positive
95,அரசு மக்களின் தேவைகளை பூர்த்தி செய்ய தவறுகிறது.,Politics,Positive
96,அரசியல் சூழ்நிலை மிகுந்த பதற்றமாக உள்ளது.,Politics,Positive
97,அரசாங்கம் புதிய வளர்ச்சி திட்டங்களை செயல்படுத்தியுள்ளது.,Politics,Positive
98,அரசியல் வாதிகள் உறுதியான முடிவுகளை எடுக்கவில்லை.,Politics,Negative
99,அரசியல் வாதிகள் உறுதியான முடிவுகளை எடுக்கவில்லை.,Politics,Positive
100,அரசியல் நிலைமை மக்களை கவலைக்கிடமாக உள்ளது.,Politics,Positive
